OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
allarmi generati,mxp,jfk,2024-02-11 22:20:00,milano,new york,stati uniti,2.0,3.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,ruh,2024-02-12 00:00:00,roma,riyadh,arabia saudita,5.0,124.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,vce,lhr,2024-02-12 00:00:00,venezia,londra,regno unito,4.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,lhr,2024-02-12 00:00:00,milano,londra,regno unito,2.0,154.0,,,,,,,,,,,,,,,,,,,,
allarmi chiusi,bgy,saw,2024-02-12 00:00:00,bergamo,istanbul,turchia,2.0,14.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,blq,stn,2024-02-12 00:00:00,bologna,londra,regno unito,8.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,add,2024-02-12 00:05:00,roma,addis ababa,etiopia,5.0,13.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,evn,2024-02-12 03:40:00,roma,yerevan,armenia,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,cai,2024-02-12 04:30:00,roma,cairo,egitto,5.0,104.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,cai,2024-02-12 04:30:00,roma,cairo,egitto,5.0,0.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,cia,rak,2024-02-12 05:45:00,roma,marrakech,marocco,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,bgy,tia,2024-02-12 06:10:00,bergamo,tirana,albania,2.0,1.0,tsc,,,alb,bergamo,tirana,albania,2.0,,,,,m,,singola tratta,wizz air malta,w43845,segnalato,,
viaggiatori investigati,mxp,tia,2024-02-12 06:20:00,milano,tirana,albania,2.0,197.0,,,,alb,milano,tirana,albania,2.0,124.0,124.0,16.0,visto,m,,singola tratta,wizz air malta,w46607,,,
allarmi generati,mxp,tlv,2024-02-12 06:50:00,milano,tel aviv yafo,israele,2.0,2.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,ltn,2024-02-12 07:00:00,milano,londra,regno unito,2.0,2.0,tsc,,,alb,milano,londra,regno unito,2.0,2.0,2.0,0.0,visto,,61+,singola tratta,easyjet,u22485,ok,,
allarmi generati,mxp,lhr,2024-02-12 07:20:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,cai,2024-02-12 07:50:00,bergamo,il cairo,egitto,2.0,37.0,,,,,,,,,,,,,,,,,,,,
esito negativo,nap,ist,2024-02-12 08:00:00,napoli,istanbul,turchia,6.0,13.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,blq,tun,2024-02-12 08:00:00,bologna,tunis,tunisia,8.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,cia,stn,2024-02-12 08:05:00,roma,londra,regno unito,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,trn,lgw,2024-02-12 08:10:00,torino,londra,regno unito,1.0,143.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,flr,lcy,2024-02-12 08:35:00,firenze,londra,regno unito,8.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,flr,lcy,2024-02-12 08:35:00,firenze,londra,regno unito,8.0,1.0,nsis,doppio controllo,,,,,,,,,,,,,,,,,,
voli solo visualizzati,nap,man,2024-02-12 08:50:00,napoli,manchester,regno unito,6.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,lgw,2024-02-12 08:55:00,milano,londra,regno unito,2.0,176.0,sdi,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,,,18-30,singola tratta,easyjet europe,ec8305,fermato,,
voli solo visualizzati,tsf,tia,2024-02-12 09:00:00,treviso,tirana,albania,,1.0,,,,alb,treviso,tirana,albania,4.0,102.0,102.0,12.0,permesso di soggiorno,,46-60,singola tratta,ryanair dac,fr8400,,,
viaggiatori investigati,bgy,bfs,2024-02-12 09:00:00,bergamo,belfast,regno unito,2.0,,,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,lhr,2024-02-12 09:15:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,vce,lgw,2024-02-12 09:30:00,venezia,londra,regno unito,4.0,1.0,sdi,,,alb,venezia,londra,regno unito,4.0,1.0,1.0,0.0,permesso di soggiorno,m,46-60,singola tratta,wizz air malta,w45789,in attesa,,
voli solo visualizzati,blq,tia,2024-02-12 11:15:00,bologna,tirana,albania,8.0,1.0,manuale,,,alb,bologna,tirana,albania,8.0,118.0,118.0,22.0,,m,0-17,singola tratta,wizz air malta,w43877,fermato,,
allarmi generati,fco,saw,2024-02-12 11:20:00,roma,istanbul,turchia,5.0,7.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,tun,2024-02-12 11:25:00,roma,tunis,tunisia,5.0,,,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,adb,2024-02-12 11:45:00,milano,smirne,turchia,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,stn,2024-02-12 11:45:00,bergamo,londra,regno unito,2.0,,interpol,,,alb,bergamo,londra,regno unito,2.0,2.0,2.0,0.0,permesso di soggiorno,f,46-60,singola tratta,ryanair dac,fr2738,segnalato,,
viaggiatori entrati,cia,stn,2024-02-12 12:10:00,roma,londra,regno unito,5.0,174.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,tia,2024-02-12 12:50:00,milano,tirana,albania,2.0,1.0,,,,alb,milano,tirana,albania,2.0,62.0,62.0,14.0,passaporto,m,61+,singola tratta,air albania,zb2003,,,
allarmi generati,cta,tia,2024-02-12 12:55:00,catania,tirana,albania,7.0,8.0,manuale,,,alb,catania,tirana,albania,7.0,24.0,24.0,0.0,passaporto,f,61+,singola tratta,wizz air malta,w46605,,,
esito negativo,fco,tgd,2024-02-12 13:50:00,roma,podgorica,montenegro,5.0,3.0,tsc,,,alb,roma,podgorica,montenegro,5.0,1.0,1.0,0.0,carta d'identità,f,31-45,singola tratta,air montenegro,4o0330,fermato,,
viaggiatori entrati,mxp,mct,2024-02-12 14:15:00,milano,muscat,oman,2.0,263.0,,,,,,,,,,,,,,,,,,,,
voli investigati,nap,stn,2024-02-12 14:20:00,napoli,londra,regno unito,6.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,nap,stn,2024-02-12 14:20:00,napoli,londra,regno unito,6.0,173.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,ssh,2024-02-12 14:35:00,milano,sharm el-sheikh,egitto,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,vce,man,2024-02-12 14:50:00,venezia,manchester,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,lin,lhr,2024-02-12 15:00:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,vce,stn,2024-02-12 15:10:00,venezia,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,tia,2024-02-12 15:15:00,bergamo,tirana,albania,2.0,1.0,nsis,,,alb,bergamo,tirana,albania,2.0,56.0,56.0,10.0,visto,f,0-17,singola tratta,wizz air malta,w43869,segnalato,,
voli investigati,bgy,tia,2024-02-12 15:15:00,bergamo,tirana,albania,2.0,1.0,,,,alb,bergamo,tirana,albania,2.0,56.0,56.0,10.0,visto,f,0-17,singola tratta,wizz air malta,w43869,segnalato,,
esito negativo,mxp,doh,2024-02-12 15:30:00,milano,doha,qatar,2.0,12.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,doh,2024-02-12 15:35:00,roma,doha,qatar,5.0,181.0,nsis,,alto,,,,,,,,,,,,,,,,,
voli disponibili,bgy,cai,2024-02-12 15:40:00,bergamo,cairo,egitto,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,tlv,2024-02-12 15:45:00,milano,tel aviv yafo,israele,2.0,3.0,nsis,,,,milano,tel aviv yafo,israele,2.0,1.0,1.0,0.0,permesso di soggiorno,f,,singola tratta,el al israel airlines,ly0387,fermato,,
viaggiatori con allarmi,cia,stn,2024-02-12 15:50:00,roma,londra,regno unito,5.0,4.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,jfk,2024-02-12 16:35:00,roma,new york,stati uniti,5.0,232.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,vce,lgw,2024-02-12 16:35:00,venezia,londra,regno unito,4.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,lhr,2024-02-12 17:00:00,milano,londra,regno unito,2.0,3.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,ewr,2024-02-12 17:40:00,roma,newark,stati uniti,5.0,259.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,auh,2024-02-12 17:45:00,roma,abu dhabi,emirati arabi uniti,5.0,172.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,stn,2024-02-12 18:00:00,venezia,londra,regno unito,4.0,1.0,nsis,,,alb,venezia,londra,regno unito,4.0,3.0,3.0,0.0,carta d'identità,f,31-45,singola tratta,ryanair dac,fr0798,fermato,,
voli disponibili,bgy,dxb,2024-02-12 18:00:00,bergamo,dubai,emirati arabi uniti,2.0,1.0,nsis,,,alb,bergamo,dubai,emirati arabi uniti,2.0,1.0,1.0,1.0,permesso di soggiorno,f,18-30,singola tratta,fly dubai,fz1571,ok,,
voli solo visualizzati,bgy,brs,2024-02-12 18:10:00,bergamo,bristol,regno unito,2.0,1.0,,,,alb,bergamo,bristol,regno unito,2.0,4.0,4.0,0.0,permesso di soggiorno,m,0-17,singola tratta,ryanair dac,fr3560,,,
viaggiatori con allarmi,bgy,brs,2024-02-12 18:10:00,bergamo,bristol,regno unito,2.0,3.0,sdi,,,alb,bergamo,bristol,regno unito,2.0,4.0,4.0,0.0,permesso di soggiorno,m,0-17,singola tratta,ryanair dac,fr3560,,,
viaggiatori con allarmi,trn,bhx,2024-02-12 18:15:00,torino,birmingham,regno unito,1.0,2.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,man,2024-02-12 18:20:00,bergamo,manchester,regno unito,2.0,10.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,lhr,2024-02-12 18:20:00,roma,londra,regno unito,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,lin,lcy,2024-02-12 19:05:00,milano,londra,regno unito,2.0,78.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,blq,tia,2024-02-12 19:25:00,bologna,tirana,albania,8.0,4.0,sdi,,,alb,bologna,tirana,albania,8.0,86.0,86.0,19.0,visto,m,31-45,singola tratta,ryanair dac,fr8399,ok,passeggero noto,
esito negativo,fco,dss,2024-02-12 19:35:00,roma,dakar,senegal,5.0,72.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,jed,2024-02-12 19:35:00,roma,jeddah,arabia saudita,5.0,1.0,manuale,,,alb,roma,jeddah,arabia saudita,5.0,4.0,4.0,0.0,permesso di soggiorno,m,61+,singola tratta,wizz air malta,w48350,ok,,
voli con allarmi,mxp,skp,2024-02-12 19:40:00,milano,skopie,macedonia,2.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,jfk,2024-02-12 19:45:00,roma,new york,stati uniti,5.0,3.0,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,fco,mia,2024-02-12 19:50:00,roma,miami,stati uniti,5.0,12.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,rmo,2024-02-12 20:00:00,bologna,chisinau,moldavia,8.0,112.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,lhr,2024-02-12 20:20:00,bologna,londra,regno unito,8.0,147.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,ist,2024-02-12 20:30:00,milano,istanbul,turchia,2.0,159.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,gru,2024-02-12 20:40:00,roma,san paolo,brasile,5.0,268.0,manuale,,,,,,,,,,,,,,,,,,,
esito negativo,fco,gru,2024-02-12 20:40:00,roma,san paolo,brasile,5.0,2.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,evn,2024-02-12 20:45:00,venezia,yerevan,armenia,4.0,3.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,lgw,2024-02-12 20:50:00,milano,londra,regno unito,2.0,1.0,sdi,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,,m,61+,singola tratta,wizz air malta,w45787,ok,,
viaggiatori entrati,bgy,tng,2024-02-12 20:50:00,bergamo,tangier,marocco,2.0,176.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,bgy,rak,2024-02-12 21:05:00,bergamo,marrakech,marocco,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,add,2024-02-12 22:50:00,roma,addis ababa,etiopia,5.0,348.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,add,2024-02-12 23:00:00,roma,addis ababa,etiopia,5.0,510.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,tpe,2024-02-12 23:05:00,milano,taipei,taiwan,2.0,11.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,pek,2024-02-13 00:00:00,roma,pechino,cina,5.0,250.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,tia,2024-02-13 00:00:00,bergamo,tirana,albania,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,cia,amm,2024-02-13 00:00:00,roma,amman,giordania,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,auh,2024-02-13 03:10:00,milano,abu dhabi,emirati arabi uniti,2.0,268.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,del,2024-02-13 03:45:00,roma,nuova delhi,india,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,bgy,rak,2024-02-13 06:00:00,bergamo,marrakech,marocco,2.0,33.0,tsc,,,,,,,,,,,,,,,,,,,
esito negativo,bgy,rak,2024-02-13 06:00:00,bergamo,marrakech,marocco,2.0,34.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,beg,2024-02-13 06:10:00,roma,belgrado,serbia,5.0,5.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,cia,rak,2024-02-13 06:15:00,roma,marrakech,marocco,5.0,3.0,manuale,,,alb,roma,marrakech,marocco,5.0,1.0,1.0,0.0,,,0-17,singola tratta,ryanair dac,fr8114,respinto,,
voli disponibili,cia,rak,2024-02-13 06:15:00,roma,marrakech,marocco,5.0,1.0,tsc,,,alb,roma,marrakech,marocco,5.0,1.0,1.0,0.0,,,0-17,singola tratta,ryanair dac,fr8114,respinto,,
voli con allarmi,mxp,stn,2024-02-13 06:45:00,milano,londra,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,trs,stn,2024-02-13 06:45:00,trieste,londra,regno unito,4.0,165.0,,passeggero noto,,,trieste,londra,regno unito,4.0,2.0,2.0,0.0,passaporto,m,46-60,singola tratta,ryanair dac,fr0168,ok,,
voli solo visualizzati,blq,tia,2024-02-13 06:55:00,bologna,tirana,albania,8.0,1.0,,,medio,alb,bologna,tirana,albania,8.0,38.0,38.0,3.0,carta d'identità,f,61+,singola tratta,wizz air malta,w46681,ok,,
voli solo visualizzati,nap,lgw,2024-02-13 07:10:00,napoli,londra,regno unito,6.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,cta,lgw,2024-02-13 07:30:00,catania,londra,regno unito,7.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,tun,2024-02-13 07:45:00,milano,tunis,tunisia,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,cai,2024-02-13 07:50:00,bergamo,cairo,egitto,2.0,126.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,psa,dxb,2024-02-13 07:50:00,pisa,dubai,emirati arabi uniti,8.0,,manuale,,,,,,,,,,,,,,,,,,,
esito negativo,lin,lcy,2024-02-13 08:30:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,dxb,2024-02-13 08:55:00,roma,dubai,emirati arabi uniti,5.0,13.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,lgw,2024-02-13 09:00:00,milano,londra,regno unito,2.0,7.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cia,stn,2024-02-13 09:00:00,roma,londra,regno unito,5.0,187.0,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,brs,2024-02-13 09:15:00,milano,bristol,regno unito,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,ist,2024-02-13 09:15:00,roma,istanbul,turchia,5.0,156.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,brs,2024-02-13 09:15:00,milano,bristol,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,lgw,2024-02-13 09:20:00,roma,londra,regno unito,5.0,1.0,sdi,,,alb,roma,londra,regno unito,5.0,5.0,5.0,0.0,permesso di soggiorno,m,0-17,singola tratta,wizz air malta,w45781,fermato,,
viaggiatori con allarmi,vrn,znz,2024-02-13 09:30:00,verona,zanzibar,tanzania,4.0,,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,cai,2024-02-13 10:00:00,roma,cairo,egitto,5.0,10.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,rak,2024-02-13 10:05:00,milano,marrakech,marocco,2.0,15.0,tsc,verifica richiesta,,,,,,,,,,,,,,,,,,
viaggiatori investigati,flr,lgw,2024-02-13 10:05:00,firenze,londra,regno unito,8.0,138.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,jed,2024-02-13 10:20:00,roma,jeddah,arabia saudita,5.0,102.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,jed,2024-02-13 10:20:00,roma,jeddah,arabia saudita,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,alg,2024-02-13 10:30:00,roma,algeri,algeria,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,saw,2024-02-13 10:35:00,bergamo,istanbul,turchia,2.0,221.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,saw,2024-02-13 11:00:00,roma,istanbul,turchia,5.0,2.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,mle,2024-02-13 11:15:00,milano,male,maldive,2.0,363.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,flr,lcy,2024-02-13 11:25:00,firenze,londra,regno unito,8.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,tbs,2024-02-13 11:45:00,bergamo,tbilisi,georgia,2.0,70.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cia,amm,2024-02-13 12:00:00,roma,amman,giordania,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,tia,2024-02-13 12:10:00,bergamo,tirana,albania,2.0,137.0,tsc,,,alb,bergamo,tirana,albania,2.0,72.0,72.0,9.0,carta d'identità,f,31-45,singola tratta,wizz air malta,w4-3885,,,
viaggiatori investigati,lin,lhr,2024-02-13 12:35:00,milano,londra,regno unito,2.0,161.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,cmn,2024-02-13 13:00:00,roma,casablanca,marocco,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,cmn,2024-02-13 13:00:00,milano,casablanca,marocco,2.0,,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,cai,2024-02-13 13:30:00,milano,cairo,egitto,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,lhr,2024-02-13 13:35:00,milano,londra,regno unito,2.0,6.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,lhr,2024-02-13 13:40:00,venezia,londra,regno unito,4.0,163.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,vce,lhr,2024-02-13 13:40:00,venezia,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,lin,dxb,2024-02-13 13:41:00,milano,dubai,emirati arabi uniti,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,fco,eze,2024-02-13 13:45:00,roma,buenos aires,argentina,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,lin,lcy,2024-02-13 13:45:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,mct,2024-02-13 14:15:00,milano,muscat,oman,2.0,28.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,mct,2024-02-13 14:15:00,milano,muscat,oman,2.0,238.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,edi,2024-02-13 15:00:00,venezia,edinburgh,regno unito,4.0,2.0,,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,psa,tia,2024-02-13 15:15:00,pisa,tirana,albania,8.0,1.0,tsc,,,alb,pisa,tirana,albania,8.0,130.0,130.0,23.0,,,,singola tratta,wizz air malta,w46649,ok,,
voli disponibili,lin,oak,2024-02-13 15:30:00,milano,oakland,stati uniti,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,gru,2024-02-13 15:45:00,roma,san paolo,brasile,5.0,219.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi chiusi,psa,man,2024-02-13 16:00:00,pisa,manchester,regno unito,8.0,11.0,sdi,,,alb,pisa,manchester,regno unito,8.0,1.0,1.0,0.0,visto,m,61+,singola tratta,ryanair dac,fr5624,respinto,,
viaggiatori entrati,mxp,lhr,2024-02-13 16:50:00,milano,londra,regno unito,2.0,108.0,manuale,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,,f,0-17,singola tratta,british airways,ba0580,respinto,,
voli disponibili,fco,ewr,2024-02-13 17:40:00,roma,newark,stati uniti,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,ewr,2024-02-13 17:40:00,roma,newark,stati uniti,5.0,0.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,auh,2024-02-13 17:45:00,roma,abu dhabi,emirati arabi uniti,5.0,7.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,ist,2024-02-13 17:55:00,roma,istanbul,turchia,5.0,171.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,cai,2024-02-13 17:55:00,roma,cairo,egitto,5.0,7.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,cai,2024-02-13 17:55:00,roma,cairo,egitto,5.0,7.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,ist,2024-02-13 17:55:00,roma,istanbul,turchia,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,dxb,2024-02-13 18:00:00,bergamo,dubai,emirati arabi uniti,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,ewr,2024-02-13 18:05:00,milano,newark,stati uniti,2.0,170.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,blq,lhr,2024-02-13 18:10:00,bologna,londra,regno unito,8.0,1.0,,,,alb,bologna,londra,regno unito,8.0,1.0,1.0,0.0,passaporto,m,18-30,singola tratta,british airways,ba0544,in attesa,,
voli investigati,mxp,jed,2024-02-13 19:40:00,milano,jeddah,arabia saudita,2.0,1.0,manuale,,,alb,milano,jeddah,arabia saudita,2.0,1.0,1.0,1.0,visto,m,31-45,singola tratta,wizz air malta,w45692,ok,,
viaggiatori con allarmi,bgy,stn,2024-02-13 20:45:00,bergamo,londra,regno unito,2.0,4.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,stn,2024-02-13 20:45:00,bergamo,londra,regno unito,2.0,179.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,ssh,2024-02-13 21:20:00,roma,sharm el sheikh,egitto,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,add,2024-02-13 22:00:00,roma,addis ababa,etiopia,5.0,93.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,eze,2024-02-13 22:40:00,roma,buenos aires,argentina,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,eze,2024-02-13 22:40:00,roma,buenos aires,argentina,5.0,201.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,fco,cai,2024-02-14 00:00:00,roma,cairo,egitto,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,jfk,2024-02-14 00:00:00,roma,new york,stati uniti,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,pek,2024-02-14 01:35:00,milano,pechino,cina,2.0,29.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,auh,2024-02-14 02:25:00,roma,abu dhabi,emirati arabi uniti,5.0,395.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,del,2024-02-14 03:45:00,roma,nuova delhi,india,5.0,22.0,,,,,,,,,,,,,,,,,,,,
voli investigati,fco,lhr,2024-02-14 07:05:00,roma,londra,regno unito,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,shj,2024-02-14 07:15:00,bergamo,sharjah,emirati arabi uniti,2.0,1.0,sdi,,,are,bergamo,sharjah,emirati arabi uniti,2.0,2.0,2.0,0.0,carta d'identità,f,46-60,singola tratta,air arabia,g90710,segnalato,,
viaggiatori con allarmi,mxp,gyd,2024-02-14 07:30:00,milano,baku,azerbaigian,2.0,9.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,trn,lgw,2024-02-14 07:35:00,torino,londra,regno unito,1.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,cia,stn,2024-02-14 08:05:00,roma,londra,regno unito,5.0,3.0,interpol,,,alb,roma,londra,regno unito,5.0,1.0,1.0,0.0,visto,m,46-60,singola tratta,ryanair dac,fr2510,fermato,,
voli solo visualizzati,mxp,lgw,2024-02-14 08:30:00,milano,londra,regno unito,2.0,1.0,tsc,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,,f,18-30,singola tratta,wizz air malta,w45785,respinto,,
